,Review Title,Total Review,Preprocessed Reviews,sentiment
0," As a viewer that actually went to TIFF and witnessed this film and didn't want to believe the hype, it is an absolute MASTERPIECE and Phoenix is a certified legend.
","I was a person that saw all the hype and claims of masterpiece as overreacting and overblown excitement for another Joker based film. I thought this looked solid at best and even a bit too pretentious in the trailer, but in here to say I was incredibly wrong. This is a massive achievement of cinema that's extremely rare in a day and age of cgi nonsense and reboots. While this is somewhat of a reboot of sorts, the standalone origin tale is impeccable from start to finish and echoes resemblance to the best joker origin comics from the past. Joaquin bleeds, sweats, and cries his every drop into this magnificently dedicated performance. Heath Ledger would be proud. This is undoubtedly the greatest acting performance since Heath's joker. The directing and writing is slickly brilliant and the bleak settings and tones are palpable throughout. When this film was over the place was blown away and every audience member was awestruck that they witnessed a film that could still transport them into a character's world and very existence. Believe the hype. This is going to be revered as a transcending masterpiece of cinema.","['i', 'person', 'saw', 'hype', 'claim', 'masterpiec', 'overreact', 'overblown', 'excit', 'anoth', 'joker', 'base', 'film', 'i', 'thought', 'look', 'solid', 'best', 'even', 'bit', 'pretenti', 'trailer', 'say', 'i', 'incred', 'wrong', 'thi', 'massiv', 'achiev', 'cinema', 'that', 'extrem', 'rare', 'day', 'age', 'cgi', 'nonsens', 'reboot', 'while', 'somewhat', 'reboot', 'sort', 'standalon', 'origin', 'tale', 'impecc', 'start', 'finish', 'echo', 'resembl', 'best', 'joker', 'origin', 'comic', 'past', 'joaquin', 'bleed', 'sweat', 'cri', 'everi', 'drop', 'magnific', 'dedic', 'perform', 'heath', 'ledger', 'would', 'proud', 'thi', 'undoubtedli', 'greatest', 'act', 'perform', 'sinc', 'heath', 'joker', 'the', 'direct', 'write', 'slickli', 'brilliant', 'bleak', 'set', 'tone', 'palpabl', 'throughout', 'when', 'film', 'place', 'blown', 'away', 'everi', 'audienc', 'member', 'awestruck', 'wit', 'film', 'could', 'still', 'transport', 'charact', 'world', 'exist', 'believ', 'hype', 'thi', 'go', 'rever', 'transcend', 'masterpiec', 'cinema']",positive
1," Outstanding movie with a haunting performance and best character development ever seen
","Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen.","['everi', 'movi', 'come', 'truli', 'make', 'impact', 'joaquin', 'perform', 'scenographi', 'brillianc', 'grotesqu', 'haunt', 'cringi', 'hard', 'watch', 'time', 'mesmer', 'wont', 'blink', 'eye', 'watch', 'tragic', 'serious', 'funni', 'moment', 'emot', 'rollercoast', 'sometim', 'multipl', 'emot', 'poppingup', 'timethi', 'far', 'typic', 'actionriddl', 'predict', 'superhero', 'movi', 'proper', 'psycholog', 'thrillerdrama', 'singl', 'best', 'charact', 'develop', 'i', 'ever', 'seen']",positive
2," Only certain people can relate
","This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.","['thi', 'movi', 'felt', 'alon', 'isol', 'truli', 'relat', 'you', 'understand', 'motiv', 'feel', 'sorri', 'charact', 'a', 'lot', 'peopl', 'see', 'movi', 'think', 'encourag', 'violenc', 'but', 'truli', 'movi', 'encourag', 'everi', 'one', 'u', 'becom', 'better', 'person', 'treat', 'everyon', 'respect', 'make', 'feel', 'like', 'belong', 'world', 'instead', 'make', 'feel', 'isol']",neutral
3," Perfect in every aspect.
","Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife.
Remarkable Direction, Cinematography, Music and the Acting.
Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message.
It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too.
The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different.
It's BELIEVABLE.
There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people.
Consider this a wake up call, a message, but first a film. A PERFECT film.","['truli', 'masterpiec', 'the', 'best', 'hollywood', 'film', 'one', 'best', 'film', 'decad', 'and', 'truli', 'best', 'film', 'bring', 'comic', 'book', 'chillingli', 'realist', 'real', 'ife', 'remark', 'direct', 'cinematographi', 'music', 'act', 'some', 'peopl', 'surpris', 'find', 'disturb', 'violent', 'necess', 'messag', 'it', 'societi', 'reflect', 'underappreciatedunrecognizedbulli', 'peopl', 'prove', 'someth', 'the', 'way', 'show', 'class', 'differ', 'corrupt', 'rich', 'talent', 'rule', 'other', 'around', 'exagger', 'that', 'make', 'differ', 'it', 'believ', 'there', 'could', 'multipl', 'joker', 'live', 'societi', 'could', 'shake', 'around', 'much', 'bitter', 'way', 'film', 'show', 'make', 'peopl', 'uncomfort', 'peopl', 'consid', 'wake', 'call', 'messag', 'first', 'film', 'a', 'perfect', 'film']",positive
4," The Hype is real
","Most of the time movies are anticipated like this they end up falling short, way short. Joker is the first time I was more than happy with the hype. Please ignore the complaints of ""pernicious violence"" as they are embarrassing to say the least. We haven't seen a comic movie this real before. If we ever ""deserved"" a better class of criminal - Phillips and Phoenix have delivered. This is dark, Joker IS dark and you will fall in love with the villain as you should. The bad guys are always more romantic anyway.","['most', 'time', 'movi', 'anticip', 'like', 'end', 'fall', 'short', 'way', 'short', 'joker', 'first', 'time', 'i', 'happi', 'hype', 'plea', 'ignor', 'complaint', 'pernici', 'violenc', 'embarrass', 'say', 'least', 'we', 'havent', 'seen', 'comic', 'movi', 'real', 'if', 'ever', 'deserv', 'better', 'class', 'crimin', 'phillip', 'phoenix', 'deliv', 'thi', 'dark', 'joker', 'is', 'dark', 'fall', 'love', 'villain', 'the', 'bad', 'guy', 'alway', 'romant', 'anyway']",neutral
5," MASTERPIECE 😍
","Joaquin Phoenix gives a tour de force performance, fearless and stunning in its emotional depth and physicality. It's impossible to talk about this without referencing Heath Ledger's Oscar-winning performance from The Dark Knight, widely considered the definitive live-action portrayal of the Joker, so let's talk about it. The fact is, everyone is going to be stunned by what Phoenix accomplishes, because it's what many thought impossible - a portrayal that matches and potentially exceeds that of The Dark Knight's Clown Prince of Crime","['joaquin', 'phoenix', 'give', 'tour', 'de', 'forc', 'perform', 'fearless', 'stun', 'emot', 'depth', 'physic', 'it', 'imposs', 'talk', 'without', 'referenc', 'heath', 'ledger', 'oscarwin', 'perform', 'the', 'dark', 'knight', 'wide', 'consid', 'definit', 'liveact', 'portray', 'joker', 'let', 'talk', 'the', 'fact', 'everyon', 'go', 'stun', 'phoenix', 'accomplish', 'mani', 'thought', 'imposs', 'portray', 'match', 'potenti', 'exce', 'the', 'dark', 'knight', 'clown', 'princ', 'crime']",positive
6," JUST AMAZING. How does this movie exist.
","Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director","['let', 'start', 'say', 'joaquin', 'phoneix', 'doesnt', 'get', 'oscar', 'movi', 'then', 'oscar', 'cancel', 'phoneix', 'amaz', 'mightv', 'heard', 'everi', 'review', 'ever', 'but', 'todd', 'phillip', 'is', 'best', 'the', 'stori', 'line', 'take', 'visual', 'breathtak', 'the', 'score', 'omg', 'score', 'everi', 'time', 'score', 'came', 'i', 'felt', 'uncomfort', 'like', 'someth', 'horribl', 'happen', 'it', 'great', 'the', 'inspir', 'taxi', 'driver', 'king', 'comedi', 'add', 'much', 'movi', 'and', 'i', 'got', 'honest', 'there', 'scene', 'violent', 'and', 'disturb', 'but', 'i', 'honestli', 'expect', 'wayyyi', 'violent', 'controversi', 'go', 'overal', 'movi', 'great', 'come', 'oscar', 'season', 'need', 'nomin', 'best', 'pictur', 'screenplay', 'cinematographi', 'actor', 'score', 'director']",positive
7," Went for a second time to watch
","I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.","['i', 'get', 'peopl', 'hate', 'it', 'polit', 'messag', 'peopl', 'think', 'need', 'get', 'empathi', 'arthur', 'mad', 'but', 'come', 'point', 'never', 'enjoy', 'masterpiec', 'joaquin', 'phoenix', 'todd', 'phillip', 'overdid', 'movi', 'the', 'actingmus', 'cinematographi', 'amaz', 'plea', 'enjoy', 'movi', 'without', 'overthink']",neutral
8," A psychological study, rather than a superhero flick
","I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least.
It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.Despite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nolan's movies, or at least very close). It is a small-scaled film, with a distinct style and cinematography (that cannot but be appreciated) and a set of very cinephile references that however do not feel too forced or overly opressive. (most notable are the similarities to Scorsese's 'Taxi Driver' and his 'The King of Comedy', but also Chaplin's 'Modern Times' is somewhat referenced).I am eager to see more non-comedic efforts by Todd Phillips. This movie was so far probably the best of 2019 (at worst contested so far only by Dolor Y Gloria or Once Upon a Time in Hollywood), and that should be very convincing.","['i', 'seen', 'joker', 'yesterday', 'venic', 'earli', 'illfat', 'screen', 'we', 'troubl', 'audio', 'lead', 'nearhour', 'delay', 'definit', 'worth', 'itjok', 'deserv', 'present', 'venic', 'film', 'festiv', 'event', 'regard', 'cinema', 'form', 'art', 'film', 'far', 'blockbust', 'mere', 'entertain', 'movi', 'film', 'genr', 'areit', 'focus', 'psych', 'main', 'charact', 'slowli', 'crumbl', 'pressur', 'societi', 'and', 'thu', 'joaquin', 'phoenix', 'wonder', 'perform', 'earn', 'almost', 'sure', 'nomin', 'oscar', 'least', 'it', 'take', 'joker', 'differ', 'ledger', 'id', 'say', 'equal', 'good', 'the', 'main', 'differ', 'might', 'ledger', 'joker', 'ration', 'act', 'insan', 'phoenix', 'insan', 'rootdespit', 'movi', 'superhero', 'villain', 'joker', 'much', 'superior', 'movi', 'genr', 'id', 'exclud', 'dark', 'knight', 'trilog', 'joker', 'easili', 'good', 'nolan', 'movi', 'least', 'close', 'it', 'smallscal', 'film', 'distinct', 'style', 'cinematographi', 'can', 'not', 'appreci', 'set', 'cinephil', 'refer', 'howev', 'feel', 'forc', 'overli', 'opress', 'notabl', 'similar', 'scorses', 'taxi', 'driver', 'the', 'king', 'comedi', 'also', 'chaplin', 'modern', 'time', 'somewhat', 'referencedi', 'eager', 'see', 'noncomed', 'effort', 'todd', 'phillip', 'thi', 'movi', 'far', 'probabl', 'best', 'worst', 'contest', 'far', 'dolor', 'y', 'gloria', 'onc', 'upon', 'time', 'hollywood', 'convinc']",positive
9," Joaquin 'OSCAR', Joker = best Dark suspense thriller ... Darker than dark Knight.
","It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting.
To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience.","['it', 'sad', 'joaquin', 'miss', 'oscar', 'the', 'gladiat', 'compel', 'villain', 'but', 'i', 'quit', 'confid', 'win', 'joker', 'damn', 'movi', 'keep', 'u', 'toe', 'time', 'unpredict', 'storylin', 'realli', 'deep', 'interest', 'plot', 'did', 'i', 'forget', 'mention', 'act', 'damn', 'do', 'niro', 'joaquin', 'teach', 'u', 'realli', 'star', 'act', 'to', 'enjoy', 'movi', 'get', 'wine', 'hand', 'close', 'curtain', 'turn', 'ur', 'cellphon', 'put', 'disturb', 'sign', 'ur', 'door', 'best', 'dark', 'thriller', 'suspens', 'movi', 'get', 'experi']",positive
